[2025-02-13 14:16:19.020209] Scan started.
[2025-02-13 14:16:19.023247] Results will be stored in: C:\Users\rybrinkman\OneDrive\programming\python\vs-code\port-scanner\logs\scan-2025-02-13-14-16-19
[2025-02-13 14:16:50.235398] Target resolved: 192.168.1.1
[2025-02-13 14:16:52.618102] Performing Full Scan (1-65535).
[2025-02-13 14:16:57.631319] Port 5 is CLOSED
[2025-02-13 14:16:57.635563] Port 3 is CLOSED
[[2025-02-13 14:16:57.636559] Port 1 is CLOSED
[[2025-02-13 14:16:57.636559] Port 11 is CLOSED
[2025-02-13 14:16:57.649963] Port 23 is CLOSED
[2025-02-13 14:16:57.652963] Port 14 is CLOSED
[2025-02-13 14:16:57.656283] Port 31 is CLOSED
[2025-02-13 14:16:57.658121] Port 38 is CLOSED
[2025-02-13 14:16:57.662719] Port 46 is CLOSED
[2025-02-13 14:16:57.662719] Port 33 is CLOSED
[2025-02-13 14:16:57.667730] Port 24 is CLOSED
[2025-02-13 14:16:57.667730] Port 29 is CLOSED
[2025-02-13 14:16:57.671003] Port 87 is CLOSED
[2025-02-13 14:16:57.673960] Port 53 is CLOSED
[2025-02-13 14:16:57.677989] Port 60 is CLOSED
[2025-02-13 14:16:57.678987] Port 85 is CLOSED
[2025-02-13 14:16:57.681472] Port 78 is CLOSED
[2025-02-13 14:16:57.682500] Port 71 is CLOSED
[2025-02-13 14:16:57.682500] Port 99 is CLOSED
[2025-02-13 14:16:57.682500] Port 91 is CLOSED
[2025-02-13 14:16:57.685603] Port 65 is CLOSED
[2025-02-13 14:16:57.685603] Port 56 is CLOSED
[2025-02-13 14:16:57.685603] Port 51 is CLOSED
[2025-02-13 14:16:57.686611] Port 67 is CLOSED

[2025-02-13 14:16:57.686611] Port 101 is CLOSED
[2025-02-13 14:16:57.687611] Port 97 is CLOSED
[2025-02-13 14:16:57.687611] Port 139 is CLOSED
[2025-02-13 14:16:57.687611] Port 61 is CLOSED

[2025-02-13 14:16:57.688611] Port 90 is CLOSED

[2025-02-13 14:16:57.688611] Port 115 is CLOSED
[2025-02-13 14:16:57.688611] Port 136 is CLOSED
[2025-02-13 14:16:57.688611] Port 81 is CLOSED

[2025-02-13 14:16:57.690122] Port 62 is CLOSED

[2025-02-13 14:16:57.691131] Port 130 is CLOSED
[2025-02-13 14:16:57.692131] Port 95 is CLOSED

[2025-02-13 14:16:57.695667] Port 131 is CLOSED
[2025-02-13 14:16:57.702744] Port 75 is CLOSED

[2025-02-13 14:16:57.702744] Port 132 is CLOSED
[2025-02-13 14:16:57.704742] Port 140 is CLOSED
[2025-02-13 14:16:57.704742] Port 152 is CLOSED
[2025-02-13 14:16:57.706105] Port 147 is CLOSED
[2025-02-13 14:16:57.708114] Port 105 is CLOSED
